ID	Site	Layer	Site type	Longitude	Latitude	Country	Commune	Region	Date	Max Age	Min Age	Dating method	Lab Code	Climatic phase	MIS 	Stage	Reported climate	Excavated/ researched surface sq. M.	Other date	Comment	Reference	Industry	Typology	Production systems	Main typotechnology	Qnt of lithics	Overall Group Mobility	Mean Effort Per Raw Material	MaxDist	Sources	NTAXA	N_Ungulates	N_Carnivores	N_Microfauna	NISP_Ungulate	NISP_Carnivore	NISP_Microfauna	Felis silvestris	Felis (catus) minuta	Lynx pardinus (spelaea)	Lynx lynx	Panthera (leo) spelaea	Panthera pardus	Crocuta crocuta (spelaea)	Ursus deningeri	Ursus arctos	Ursus spelaeus	Ursus thibetanus	Martes martes	Meles meles	Mustela nivalis	Mustela putorius	Mustela palerminea	Mustela erminea	Lutra lutra	Gulo gulo	Canis lupus subsp.	Cuon alpinus (priscus)	Vulpes vulpes	Alopex lagopus	Sus scrofa	Alces alces	Cervus elaphus	Cervus simplicidens	Dama dama clactoniana	Dama dama	Megaloceros giganteus	Capreolus capreolus	Rangifer tarandus	Saiga tatarica	Rupicapra rupicapra	Rupicapra pyrenaica	Capra ibex	Capra pyrenaica	Capra caucasica	Hemitragus bonali	Hemitragus cedrensis	Ovibos moschatus	Bison priscus	Bos primigenius	Hippopotamus amphibius	Mammuthus primigenius	Palaeoloxodon / elephas antiquus	Dicerorhinus/ Stephanorhinus hemitoechus	Dicerorhinus / Stephanorhinus kirchenbergensis	Coelodonta antiquitatis	Equus caballus subsp	Equus hemionus	Equus hydruntinus	Ochotona pusilla	Oryctolagus cuniculus subsp.	Lepus timidus	Lepus europaeus	Erinaceus europaeus	Talpa europaea	Talpa romana	Sorex araneus	Sorex runtonensis	Sorex minutus	Neomys fodiens	Sicista subtilis	Allactaga major	Sciurus vulgaris	Marmota marmota	Spermophilus citellus	Spermophilus superciliosus	Glis glis	Eliomys quercinus	Muscardinus avellanarius	Pliomys episcopalis	Clethrionomys glareolus	Microtus oeconomus/malei	Microtus arvalis	Microtus agrestis	Microtus subterraneus	Microtus duodecimcostatus	Microtus multiplex	Microtus gerbei	Microtus gregalis	Microtus brecciensis	Arvicola terrestris	Arvicola sapidus	Lemmus lemmus	Dicrostonyx torquatus/gulielmi	Chionomys nivalis	Lagurus lagurus	Allocricetus bursae	Cricetus cricetus	Cricetulus migratorius	Myodes rutilus	Pliomys lenki	Apodemus sylvaticus	Micromys minutus	Castor fiber
1.1	Vaufrey	VIII	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord	142	272	74	U-Th		Rissian	7			85		"Overlying layer IX is dated to 209 +/- 8 ka, and thus being the maximum age.; TT-OSL date of 234 +/-45 ka.; Microfauna are MNI, others NISP. Ichtyofauna available."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Guadelli, J.-L., and Rigaud, J.-P., 1995. Les sites du Massif du Conte (Dordogne). Les Cahiers de la vallée de la Couze, 6, 1-17.; Fauna: Grayson, D.K., and Delpech, F., 1994. The Evidence for Middle Palaeolithic Scavenging from Couche VIII, Grotte Vaufrey (Dordogne, France). Journal of Archaeological Science, 21, 359-375.; Dates: Hernandez, M., Mercier, N., Rigaud, J.-P., Texier, J.-P., and Delpech, F., 2014. A revised chronology for the Grotte Vaufrey (Dordogne, France) based on TT-OSL dating of sedimentary quartz. Journal of Human Evolution, 75, 53-63.; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Typical Mousterian with Levallois debitage	Typical	Levallois	Ante-Quina	2075	43.13810947	5.392263683	40	9	26	6	6	14	941	46	4827	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1
1.2	Vaufrey	VII	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord	145	185	105	U-Th		Rissian	06-Jul			19		"Microfauna are MNI, others NISP."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Typical Mousterian with Levallois debitage	Typical	Levallois	Ante-Quina	558	35.79463594	3.977181771	80	9	17	4	1	12	302	1	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
1.3	Vaufrey	VI	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord				Stratigraphy		Riss III	6	Saalian		10		"Microfauna are MNI, others NISP."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Typical Mousterian with Levallois debitage	Typical	Levallois	Ante-Quina	190	18.46940691	3.693881381	55	5	19	6	1	12	92	1	471	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
1.4	Vaufrey	V	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord				Stratigraphy		Riss III	6	Saalian		5		"Microfauna are MNI, others NISP."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Typical Mousterian with Levallois debitage	Typical	Levallois	Ante-Quina	121	16.71273876	3.342547751	30	5	14	3	2	9	47	3	164	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1.5	Vaufrey	IV	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord	131	140	122	TT-OSL			6	Saalian		10	"Minimum age of 91 +/-51 ka from U-Th of flowstone, which possibly developed during 5e."	"120 +/- 10 ka TL dates from a burnt flint.; Microfauna are MNI, others NISP."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Dates: Hernandez, M., Mercier, N., Rigaud, J.-P., Texier, J.-P., and Delpech, F., 2014. A revised chronology for the Grotte Vaufrey (Dordogne, France) based on TT-OSL dating of sedimentary quartz. Journal of Human Evolution, 75, 53-63.; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Typical Mousterian with Levallois debitage	Typical	Levallois	Ante-Quina	461	28.75058118	4.107225882	40	8	26	7	3	16	105	18	1765	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1
1.6	Vaufrey	III	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord				Stratigraphy			5	Early Weichselian		2		"5d?; Microfauna are MNI, others NISP."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Dates: Hernandez, M., Mercier, N., Rigaud, J.-P., Texier, J.-P., and Delpech, F., 2014. A revised chronology for the Grotte Vaufrey (Dordogne, France) based on TT-OSL dating of sedimentary quartz. Journal of Human Evolution, 75, 53-63.; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Typical Mousterian with Levallois debitage	Typical	Levallois	Ante-Quina	100	12.38659258	4.128864193	30	3	14	3	2	9	11	2	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1.7	Vaufrey	II	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord	109	116	102	TT-OSL			5	Early Weichselian		8		"5b?; Microfauna are MNI, others NISP."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Dates: Hernandez, M., Mercier, N., Rigaud, J.-P., Texier, J.-P., and Delpech, F., 2014. A revised chronology for the Grotte Vaufrey (Dordogne, France) based on TT-OSL dating of sedimentary quartz. Journal of Human Evolution, 75, 53-63.; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Typical Mousterian with Levallois debitage	Typical	Levallois	Ante-Quina	531	20.9906812	4.19813624	30	6	21	4	6	11	68	15	133	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
1.8	Vaufrey	I	Abri	1.2	44.799999	France	Cénac-Saint-Julien	Périgord	74	92	56	U/Th of speleothems			4	Early Weichselian		2		"Microfauna are MNI, others NISP."	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège.; Dates: Hernandez, M., Mercier, N., Rigaud, J.-P., Texier, J.-P., and Delpech, F., 2014. A revised chronology for the Grotte Vaufrey (Dordogne, France) based on TT-OSL dating of sedimentary quartz. Journal of Human Evolution, 75, 53-63.; Neanderthal: Garralda, M.D., Maureille, B., Rigaud, J.-P., and Vandermeersch, B., 2004. La molaire néandertalienne de la grotte Vaufrey (Dordogne, France). Bulletins et mémoires de la Société d'Anthropologie de Paris, 16 (3-4), 189-199. ; Le Gall, O., 1988. Les poissons de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 351-358.; Delpech, F., 1988. Les grands mammiféres de la grotte Vaufrey à l'exception des Ursidés. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 213-290.; Prat, F., 1988. Les Ursidés de la grotte Vaufrey. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318.; Caillat, B., 1988.Paléocologie, paléoclimatologie et chronologie de la grotte Vaufrey d'après les ronguers. In: Rigaud, J.-P., ed. La Grotte Vaufrey: Paléoenvironnement, chronologie, activités humaines. Mémoires de la Société Préhistorique Francaise - Tome XIX.  Cha?lons-sur-Marne : Socie?te? pre?historique Franc?aise, 291-318."	Quina Mousterian	Quina	Quina	Quina	112	11.22203826	3.740679421	6	3	13	4	0	9	137	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2.1	Colongues		Open air	1.7167	44.4	France	Villeneuve-sur-Lot	Pays des Serres						Riss supérieur	6	Saalian				Isolated finds	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	Acheulean supérieur	Acheulean	Acheulean	Acheulean	5	2.708050201	2.708050201	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.1	Tuilerie		Open air	0.933333	44.400002	France	Cazideroque	Pays des Serres						Riss supérieur	6	Saalian				Isolated finds	"Féblot-Augustins, J., 1997. La Circulation des Matières Premières au Paléolithique. Synthèse des Données Perspectives Comportementales. Tome 1 & 2. Études et Recherches Archéologiques de l'Université de Liège, no 75. Liège: Université de Liège."	Acheulean supérieur	Acheulean	Acheulean	Acheulean	5	2.708050201	2.708050201	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
